#token,count,percentage
and stupid for,1,0.00045788
"and stupid), whether",1,0.00045788
and that if,1,0.00045788
and that’s very,1,0.00045788
and the fall,1,0.00045788
and the white,1,0.00045788
and then dipped,1,0.00045788
and then hurried,1,0.00045788
and there she,1,0.00045788
and those cool,1,0.00045788
and though this,1,0.00045788
and to her,1,0.00045788
and to wonder,1,0.00045788
and up the,1,0.00045788
and very soon,1,0.00045788
and wander about,1,0.00045788
and was just,1,0.00045788
and went on,1,0.00045788
and when alice,1,0.00045788
"and whiskers, how",1,0.00045788
another key on,1,0.00045788
"another long passage,",1,0.00045788
another moment down,1,0.00045788
"answer either question,",1,0.00045788
"antipathies, i think—”",1,0.00045788
"anxiously to herself,",1,0.00045788
any further: she,1,0.00045788
any of them.,1,0.00045788
any rate a,1,0.00045788
any rate it,1,0.00045788
"anything about it,",1,0.00045788
anything; then she,1,0.00045788
are no mice,1,0.00045788
as it didn’t,1,0.00045788
as it turned,1,0.00045788
"as she could,",1,0.00045788
as she couldn’t,1,0.00045788
as she fell,1,0.00045788
as she passed;,1,0.00045788
as she spoke—fancy,1,0.00045788
as she went,1,0.00045788
as there was,1,0.00045788
"as this, i",1,0.00045788
as to bring,1,0.00045788
as you’re falling,1,0.00045788
"as, that a",1,0.00045788
ask them what,1,0.00045788
ask: perhaps i,1,0.00045788
"asking! no, it’ll",1,0.00045788
at all the,1,0.00045788
"at home! why,",1,0.00045788
"at it, and",1,0.00045788
"at once; but,",1,0.00045788
at tea-time. dinah,1,0.00045788
at the sides,1,0.00045788
at the thought,1,0.00045788
at the time,1,0.00045788
"at this, but",1,0.00045788
ate a little,1,0.00045788
australia?” (and she,1,0.00045788
away went alice,1,0.00045788
"bank, and of",1,0.00045788
"bat, and that’s",1,0.00045788
"bat?” when suddenly,",1,0.00045788
bats eat cats?”,1,0.00045788
"bats, i wonder?”",1,0.00045788
bats? do cats,1,0.00045788
"bats?” and sometimes,",1,0.00045788
be four thousand,1,0.00045788
be getting somewhere,1,0.00045788
be late!” (when,1,0.00045788
be like then?”,1,0.00045788
be lost: away,1,0.00045788
be no use,1,0.00045788
be of very,1,0.00045788
be seen: she,1,0.00045788
be shutting up,1,0.00045788
"be sure, this",1,0.00045788
be two people!,1,0.00045788
be two people.,1,0.00045788
be worth the,1,0.00045788
beasts and other,1,0.00045788
beautifully marked in,1,0.00045788
beautifully printed on,1,0.00045788
because they _would_,1,0.00045788
beds of bright,1,0.00045788
been all the,1,0.00045788
before her was,1,0.00045788
before seen a,1,0.00045788
before she found,1,0.00045788
"before, and behind",1,0.00045788
"before,” said alice,)",1,0.00045788
began again. “i,1,0.00045788
began talking again.,1,0.00045788
began to get,1,0.00045788
"begin.” for, you",1,0.00045788
beginning to get,1,0.00045788
begun to dream,1,0.00045788
begun to think,1,0.00045788
behind it was,1,0.00045788
behind it when,1,0.00045788
belong to one,1,0.00045788
best to climb,1,0.00045788
"bit hurt, and",1,0.00045788
"bit, and said",1,0.00045788
bleeds; and she,1,0.00045788
"blown out, for",1,0.00045788
book her sister,1,0.00045788
book of rules,1,0.00045788
"book,” thought alice",1,0.00045788
book-shelves; here and,1,0.00045788
"bottle marked “poison,”",1,0.00045788
"bottle on it,",1,0.00045788
bottle was _not_,1,0.00045788
bottle was a,1,0.00045788
box her own,1,0.00045788
box that was,1,0.00045788
brave they’ll all,1,0.00045788
bright flowers and,1,0.00045788
brightened up at,1,0.00045788
bring tears into,1,0.00045788
burn you if,1,0.00045788
"burning with curiosity,",1,0.00045788
"burnt, and eaten",1,0.00045788
but alice had,1,0.00045788
but at any,1,0.00045788
but at the,1,0.00045788
but do cats,1,0.00045788
but it had,1,0.00045788
but out-of-the-way things,1,0.00045788
but she could,1,0.00045788
but the rabbit,1,0.00045788
but the wise,1,0.00045788
but they were,1,0.00045788
but thought they,1,0.00045788
but to her,1,0.00045788
but when the,1,0.00045788
but you might,1,0.00045788
"but, alas for",1,0.00045788
"but, alas! either",1,0.00045788
"buttered toast,) she",1,0.00045788
by a row,1,0.00045788
by her sister,1,0.00045788
by her. there,1,0.00045788
by the little,1,0.00045788
by this time?”,1,0.00045788
by wild beasts,1,0.00045788
"cake, but alice",1,0.00045788
"cake, on which",1,0.00045788
cake. * *,1,0.00045788
can creep under,1,0.00045788
can reach the,1,0.00045788
candle is blown,1,0.00045788
candle is like,1,0.00045788
candle. i wonder,1,0.00045788
care which happens!”,1,0.00045788
cat.) “i hope,1,0.00045788
"catch a bat,",1,0.00045788
"cats eat bats,",1,0.00045788
cats eat bats?,1,0.00045788
cats eat bats?”,1,0.00045788
"cats?” for, you",1,0.00045788
centre of the,1,0.00045788
certain to disagree,1,0.00045788
certainly was not,1,0.00045788
chapter i. down,1,0.00045788
cheated herself in,1,0.00045788
"cherry-tart, custard, pine-apple,",1,0.00045788
child was very,1,0.00045788
children who had,1,0.00045788
climb up one,1,0.00045788
close behind it,1,0.00045788
close by her.,1,0.00045788
come out among,1,0.00045788
come to an,1,0.00045788
"coming to, but",1,0.00045788
common way. so,1,0.00045788
considering how in,1,0.00045788
considering in her,1,0.00045788
"conversations in it,",1,0.00045788
conversations?” so she,1,0.00045788
"cool fountains, but",1,0.00045788
"corner, but the",1,0.00045788
"corner, “oh my",1,0.00045788
could manage it?),1,0.00045788
could not even,1,0.00045788
could not possibly,1,0.00045788
could not remember,1,0.00045788
could see it,1,0.00045788
could shut up,1,0.00045788
"could, for the",1,0.00045788
"could, if i",1,0.00045788
couldn’t answer either,1,0.00045788
"country is, you",1,0.00045788
creep under the,1,0.00045788
"cried. “come, there’s",1,0.00045788
croquet she was,1,0.00045788
crying like that!”,1,0.00045788
cupboards and book-shelves;,1,0.00045788
cupboards as she,1,0.00045788
"curiosity, she ran",1,0.00045788
curious child was,1,0.00045788
curious feeling!” said,1,0.00045788
"currants. “well, i’ll",1,0.00045788
curtain she had,1,0.00045788
curtsey as she,1,0.00045788
"custard, pine-apple, roast",1,0.00045788
cut your finger,1,0.00045788
"daisies, when suddenly",1,0.00045788
daisy-chain would be,1,0.00045788
"dark hall, and",1,0.00045788
dark overhead; before,1,0.00045788
dark to see,1,0.00045788
day made her,1,0.00045788
dear! i shall,1,0.00045788
dear! i wish,1,0.00045788
dear! oh dear!,1,0.00045788
decided on going,1,0.00045788
deep well. either,1,0.00045788
"deep, or she",1,0.00045788
deeply with a,1,0.00045788
delight it fitted!,1,0.00045788
did alice think,1,0.00045788
did not like,1,0.00045788
did you ever,1,0.00045788
didn’t much matter,1,0.00045788
didn’t sound at,1,0.00045788
dinah my dear!,1,0.00045788
"dinah, and saying",1,0.00045788
"dinah, tell me",1,0.00045788
"dipped suddenly down,",1,0.00045788
"disagree with you,",1,0.00045788
disappointment it was,1,0.00045788
distance—but then i,1,0.00045788
do _that_ in,1,0.00045788
do to ask:,1,0.00045788
do you think,1,0.00045788
"do, so alice",1,0.00045788
do: once or,1,0.00045788
don’t care which,1,0.00045788
door about fifteen,1,0.00045788
door and found,1,0.00045788
door into that,1,0.00045788
"door, she found",1,0.00045788
"door, she walked",1,0.00045788
"door, so she",1,0.00045788
door; so either,1,0.00045788
doors all round,1,0.00045788
doors of the,1,0.00045788
doorway; “and even,1,0.00045788
down a jar,1,0.00045788
down a large,1,0.00045788
down a very,1,0.00045788
down and cried.,1,0.00045788
down and looked,1,0.00045788
down and make,1,0.00045788
down here with,1,0.00045788
down it. there,1,0.00045788
down one side,1,0.00045788
down she came,1,0.00045788
down stairs! how,1,0.00045788
"down the middle,",1,0.00045788
down the rabbit-hole,1,0.00045788
down to look,1,0.00045788
down went alice,1,0.00045788
"down, down. there",1,0.00045788
"down, down. would",1,0.00045788
"down, i think—”",1,0.00045788
"down, so suddenly",1,0.00045788
down. there was,1,0.00045788
down. would the,1,0.00045788
"downward! the antipathies,",1,0.00045788
"dozing off, and",1,0.00045788
dream that she,1,0.00045788
dreamy sort of,1,0.00045788
drink much from,1,0.00045788
drop the jar,1,0.00045788
"dry leaves, and",1,0.00045788
dull and stupid,1,0.00045788
"earnestly, “now, dinah,",1,0.00045788
"ears and whiskers,",1,0.00045788
ears for having,1,0.00045788
earth! how funny,1,0.00045788
earth. let me,1,0.00045788
eat a bat?”,1,0.00045788
"eat bats, i",1,0.00045788
eat bats? do,1,0.00045788
eat bats?” and,1,0.00045788
"eat cats?” for,",1,0.00045788
"eat it,” said",1,0.00045788
eaten up by,1,0.00045788
"eats cake, but",1,0.00045788
"either a waistcoat-pocket,",1,0.00045788
"either question, it",1,0.00045788
either the locks,1,0.00045788
either the well,1,0.00045788
either way i’ll,1,0.00045788
"either, but thought",1,0.00045788
"else to do,",1,0.00045788
empty: she did,1,0.00045788
"end, you know,”",1,0.00045788
end? “i wonder,1,0.00045788
enough of me,1,0.00045788
even get her,1,0.00045788
even if i,1,0.00045788
even if my,1,0.00045788
ever eat a,1,0.00045788
ever having seen,1,0.00045788
ever saw. how,1,0.00045788
ever to get,1,0.00045788
"every door, she",1,0.00045788
except a tiny,1,0.00045788
expecting nothing but,1,0.00045788
eye fell on,1,0.00045788
eyes ran close,1,0.00045788
eyes; and once,1,0.00045788
face brightened up,1,0.00045788
"fact, a sort",1,0.00045788
fall _never_ come,1,0.00045788
"fall as this,",1,0.00045788
fall right _through_,1,0.00045788
fall was over.,1,0.00045788
fallen by this,1,0.00045788
falling down a,1,0.00045788
falling through the,1,0.00045788
fancy what the,1,0.00045788
fear of killing,1,0.00045788
feel very sleepy,1,0.00045788
feel which way,1,0.00045788
feeling!” said alice;,1,0.00045788
feet in a,1,0.00045788
"feet, for it",1,0.00045788
fell off the,1,0.00045788
fell on a,1,0.00045788
fell past it.,1,0.00045788
"fell very slowly,",1,0.00045788
felt a little,1,0.00045788
felt that she,1,0.00045788
few minutes to,1,0.00045788
few things indeed,1,0.00045788
"field after it,",1,0.00045788
fifteen inches high:,1,0.00045788
filled with cupboards,1,0.00045788
find another key,1,0.00045788
find that she,1,0.00045788
finding it very,1,0.00045788
finding that nothing,1,0.00045788
finger _very_ deeply,1,0.00045788
finished it off.,1,0.00045788
finished off the,1,0.00045788
first thought was,1,0.00045788
"first, however, she",1,0.00045788
"first, she tried",1,0.00045788
"first,” she said,",1,0.00045788
fitted! alice opened,1,0.00045788
flame of a,1,0.00045788
flashed across her,1,0.00045788
"flavour of cherry-tart,",1,0.00045788
flowers and those,1,0.00045788
"followed it), and",1,0.00045788
fond of pretending,1,0.00045788
for a few,1,0.00045788
"for asking! no,",1,0.00045788
for fear of,1,0.00045788
for going through,1,0.00045788
for having cheated,1,0.00045788
for it flashed,1,0.00045788
"for it, she",1,0.00045788
for life to,1,0.00045788
for poor alice!,1,0.00045788
for she could,1,0.00045788
for showing off,1,0.00045788
for shutting people,1,0.00045788
"for some way,",1,0.00045788
for the hot,1,0.00045788
for this curious,1,0.00045788
"forgotten that, if",1,0.00045788
forgotten the little,1,0.00045788
fortunately was just,1,0.00045788
found a little,1,0.00045788
found herself falling,1,0.00045788
found herself in,1,0.00045788
found in it,1,0.00045788
found she could,1,0.00045788
found she had,1,0.00045788
found that it,1,0.00045788
"fountains, but she",1,0.00045788
four thousand miles,1,0.00045788
friends had taught,1,0.00045788
from a bottle,1,0.00045788
from one of,1,0.00045788
from the roof.,1,0.00045788
funny it’ll seem,1,0.00045788
further: she felt,1,0.00045788
game of croquet,1,0.00045788
garden at once;,1,0.00045788
garden you ever,1,0.00045788
"garden, and i",1,0.00045788
"garden. first, however,",1,0.00045788
gave herself very,1,0.00045788
generally gave herself,1,0.00045788
generally happens when,1,0.00045788
get her head,1,0.00045788
get into the,1,0.00045788
get out of,1,0.00045788
"get rather sleepy,",1,0.00045788
get very tired,1,0.00045788
getting somewhere near,1,0.00045788
getting up and,1,0.00045788
getting!” she was,1,0.00045788
girl she’ll think,1,0.00045788
glad there _was_,1,0.00045788
glass box that,1,0.00045788
"glass, and she",1,0.00045788
glass; there was,1,0.00045788
go on in,1,0.00045788
"go through,” thought",1,0.00045788
going into the,1,0.00045788
"going out altogether,",1,0.00045788
going through the,1,0.00045788
going to do,1,0.00045788
going to happen,1,0.00045788
going to shrink,1,0.00045788
golden key in,1,0.00045788
"good advice, (though",1,0.00045788
good opportunity for,1,0.00045788
good practice to,1,0.00045788
"got burnt, and",1,0.00045788
got so much,1,0.00045788
got to the,1,0.00045788
got to?” (alice,1,0.00045788
grand words to,1,0.00045788
great delight it,1,0.00045788
great disappointment it,1,0.00045788
"grow larger, i",1,0.00045788
"grow smaller, i",1,0.00045788
"growing, and she",1,0.00045788
had been all,1,0.00045788
had begun to,1,0.00045788
had forgotten the,1,0.00045788
"had got burnt,",1,0.00045788
had got so,1,0.00045788
"had happened lately,",1,0.00045788
had just begun,1,0.00045788
had learnt several,1,0.00045788
had never before,1,0.00045788
had never forgotten,1,0.00045788
had no idea,1,0.00045788
had no pictures,1,0.00045788
had not a,1,0.00045788
had not noticed,1,0.00045788
had peeped into,1,0.00045788
had plenty of,1,0.00045788
had read several,1,0.00045788
had taught them:,1,0.00045788
had tired herself,1,0.00045788
"had, in fact,",1,0.00045788
half hoping she,1,0.00045788
"hall, and wander",1,0.00045788
"hall, but they",1,0.00045788
"hall, which was",1,0.00045788
"hall; but, alas!",1,0.00045788
hand in hand,1,0.00045788
hand on the,1,0.00045788
"hand with dinah,",1,0.00045788
hanging from the,1,0.00045788
"happen next. first,",1,0.00045788
"happen, that it",1,0.00045788
"happened lately, that",1,0.00045788
"happened, she decided",1,0.00045788
happens when one,1,0.00045788
happens!” she ate,1,0.00045788
hardly enough of,1,0.00045788
have to ask,1,0.00045788
have wondered at,1,0.00045788
having cheated herself,1,0.00045788
having nothing to,1,0.00045788
having seen such,1,0.00045788
head through the,1,0.00045788
head to feel,1,0.00045788
head would go,1,0.00045788
heads downward! the,1,0.00045788
heap of sticks,1,0.00045788
"hear it say,",1,0.00045788
hear the rabbit,1,0.00045788
hedge. in another,1,0.00045788
her and to,1,0.00045788
her best to,1,0.00045788
her eye fell,1,0.00045788
her eyes; and,1,0.00045788
her face brightened,1,0.00045788
her feel very,1,0.00045788
her feet in,1,0.00045788
"her feet, for",1,0.00045788
her great delight,1,0.00045788
her great disappointment,1,0.00045788
her hand on,1,0.00045788
her head through,1,0.00045788
her head to,1,0.00045788
"her knowledge, as",1,0.00045788
her lessons in,1,0.00045788
her mind that,1,0.00045788
her own ears,1,0.00045788
her own mind,1,0.00045788
her saucer of,1,0.00045788
her sister on,1,0.00045788
her sister was,1,0.00045788
her that she,1,0.00045788
"her very earnestly,",1,0.00045788
her was another,1,0.00045788
"her, still it",1,0.00045788
her. there was,1,0.00045788
here alice began,1,0.00045788
here and there,1,0.00045788
"here before,” said",1,0.00045788
here with me!,1,0.00045788
herself before she,1,0.00045788
herself falling down,1,0.00045788
herself out with,1,0.00045788
herself so severely,1,0.00045788
herself very good,1,0.00045788
"herself, for this",1,0.00045788
"herself, in a",1,0.00045788
"herself, rather sharply;",1,0.00045788
"herself, “after such",1,0.00045788
"herself, “in my",1,0.00045788
"herself, “which way?",1,0.00045788
"high, and her",1,0.00045788
high: she tried,1,0.00045788
histories about children,1,0.00045788
hold it too,1,0.00045788
holding her hand,1,0.00045788
"home! why, i",1,0.00045788
hope they’ll remember,1,0.00045788
hoping she might,1,0.00045788
"hot buttered toast,)",1,0.00045788
hot day made,1,0.00045788
house!” (which was,1,0.00045788
how brave they’ll,1,0.00045788
how funny it’ll,1,0.00045788
how i wish,1,0.00045788
how in the,1,0.00045788
how late it’s,1,0.00045788
how many miles,1,0.00045788
how she longed,1,0.00045788
how she was,1,0.00045788
how to begin.”,1,0.00045788
"however, on the",1,0.00045788
"however, she waited",1,0.00045788
"however, this bottle",1,0.00045788
hung upon pegs.,1,0.00045788
"hurried on, alice",1,0.00045788
"hurry. “no, i’ll",1,0.00045788
hurrying down it.,1,0.00045788
"hurt, and she",1,0.00045788
i can creep,1,0.00045788
i can reach,1,0.00045788
i could shut,1,0.00045788
"i could, if",1,0.00045788
i don’t care,1,0.00045788
i fell off,1,0.00045788
i only knew,1,0.00045788
i shall be,1,0.00045788
i shall fall,1,0.00045788
i shall have,1,0.00045788
i shall see,1,0.00045788
i shall think,1,0.00045788
i should be,1,0.00045788
i should think!”,1,0.00045788
i think i,1,0.00045788
"i think—” (for,",1,0.00045788
i think—” (she,1,0.00045788
i wish i,1,0.00045788
i wish you,1,0.00045788
i wonder?” and,1,0.00045788
i wouldn’t say,1,0.00045788
i. down the,1,0.00045788
idea what latitude,1,0.00045788
if i fell,1,0.00045788
if i only,1,0.00045788
if i shall,1,0.00045788
if my head,1,0.00045788
if she was,1,0.00045788
if you cut,1,0.00045788
if you drink,1,0.00045788
if you hold,1,0.00045788
ignorant little girl,1,0.00045788
impossible. there seemed,1,0.00045788
in a dreamy,1,0.00045788
in a game,1,0.00045788
in a hurry.,1,0.00045788
"in a long,",1,0.00045788
in a moment:,1,0.00045788
in another moment,1,0.00045788
in crying like,1,0.00045788
"in currants. “well,",1,0.00045788
"in fact, a",1,0.00045788
in hand with,1,0.00045788
in her lessons,1,0.00045788
in her own,1,0.00045788
in it a,1,0.00045788
"in it, “and",1,0.00045788
in large letters.,1,0.00045788
"in sight, hurrying",1,0.00045788
in that; nor,1,0.00045788
"in the air,",1,0.00045788
in the common,1,0.00045788
"in the lock,",1,0.00045788
"in the schoolroom,",1,0.00045788
in the world,1,0.00045788
in waiting by,1,0.00045788
"inches high, and",1,0.00045788
inches high: she,1,0.00045788
indeed were really,1,0.00045788
indeed: she was,1,0.00045788
into a small,1,0.00045788
into her eyes;,1,0.00045788
into one of,1,0.00045788
into that lovely,1,0.00045788
into the book,1,0.00045788
into the garden,1,0.00045788
"into the garden,",1,0.00045788
into the loveliest,1,0.00045788
into the way,1,0.00045788
is almost certain,1,0.00045788
"is blown out,",1,0.00045788
is like after,1,0.00045788
is the use,1,0.00045788
is this new,1,0.00045788
"is, you know.",1,0.00045788
it a very,1,0.00045788
it all seemed,1,0.00045788
it didn’t much,1,0.00045788
it didn’t sound,1,0.00045788
it except a,1,0.00045788
it fitted! alice,1,0.00045788
it flashed across,1,0.00045788
it had no,1,0.00045788
it in large,1,0.00045788
it into one,1,0.00045788
it is almost,1,0.00045788
it led into,1,0.00045788
it might belong,1,0.00045788
"it might end,",1,0.00045788
it occurred to,1,0.00045788
it off. *,1,0.00045788
"it over afterwards,",1,0.00045788
"it over) “—yes,",1,0.00045788
it pop down,1,0.00045788
it quite plainly,1,0.00045788
"it say, as",1,0.00045788
it seemed quite,1,0.00045788
it so _very_,1,0.00045788
it too long;,1,0.00045788
it turned a,1,0.00045788
it usually bleeds;,1,0.00045788
"it very nice,",1,0.00045788
it was a,1,0.00045788
it was empty:,1,0.00045788
it was good,1,0.00045788
"it was growing,",1,0.00045788
it was indeed:,1,0.00045788
it was labelled,1,0.00045788
it when she,1,0.00045788
it would not,1,0.00045788
it written up,1,0.00045788
"it), and sometimes",1,0.00045788
"it, (“which certainly",1,0.00045788
"it, and burning",1,0.00045788
"it, and finding",1,0.00045788
"it, and fortunately",1,0.00045788
"it, and found",1,0.00045788
"it, and then",1,0.00045788
"it, even if",1,0.00045788
"it, never once",1,0.00045788
"it, or at",1,0.00045788
"it, she found",1,0.00045788
"it, “and what",1,0.00045788
"it,” said alice,",1,0.00045788
it. she felt,1,0.00045788
it. there was,1,0.00045788
it. “well!” thought,1,0.00045788
it: she could,1,0.00045788
it?) “and what,1,0.00045788
"its waistcoat-pocket_, and",1,0.00045788
"itself, “oh dear!",1,0.00045788
it’ll never do,1,0.00045788
it’ll seem to,1,0.00045788
it’s getting!” she,1,0.00045788
it’s marked ‘_poison_’,1,0.00045788
it’s no use,1,0.00045788
"i’ll eat it,”",1,0.00045788
i’ll get into,1,0.00045788
"i’ll look first,”",1,0.00045788
"i’m afraid, but",1,0.00045788
i’ve fallen by,1,0.00045788
i’ve got to?”,1,0.00045788
jar for fear,1,0.00045788
jar from one,1,0.00045788
jumped up on,1,0.00045788
just begun to,1,0.00045788
key in the,1,0.00045788
"key on it,",1,0.00045788
key was too,1,0.00045788
"key, and alice’s",1,0.00045788
"key, and when",1,0.00045788
key; and if,1,0.00045788
"killing somebody underneath,",1,0.00045788
knelt down and,1,0.00045788
knew how to,1,0.00045788
"knife, it usually",1,0.00045788
"know,” said alice",1,0.00045788
know. but do,1,0.00045788
"know. please, ma’am,",1,0.00045788
"knowledge, as there",1,0.00045788
"label, with the",1,0.00045788
"labelled “orange marmalade”,",1,0.00045788
lamps hanging from,1,0.00045788
large letters. it,1,0.00045788
large rabbit-hole under,1,0.00045788
"large, or the",1,0.00045788
larger than a,1,0.00045788
"larger, i can",1,0.00045788
late it’s getting!”,1,0.00045788
late!” (when she,1,0.00045788
"lately, that alice",1,0.00045788
"later. however, this",1,0.00045788
latitude or longitude,1,0.00045788
"latitude was, or",1,0.00045788
learnt several things,1,0.00045788
leave off this,1,0.00045788
"leaves, and the",1,0.00045788
led into a,1,0.00045788
left to make,1,0.00045788
legs of the,1,0.00045788
lessons in the,1,0.00045788
let me see:,1,0.00045788
letters. it was,1,0.00045788
life to go,1,0.00045788
like a candle.,1,0.00045788
"like a mouse,",1,0.00045788
like a telescope!,1,0.00045788
like a telescope.”,1,0.00045788
like a tunnel,1,0.00045788
